Date,Open,High,Low,Close,Volume,Change
2016-06-29,753730.0,749765,742135,746925,3208709,0.7236527388963203
2016-06-30,754060.0,755030,749780,751970,3351265,0.4295614471543598
2016-07-01,807600.0,806730,801215,804205,2641920,0.365163838415131
2016-07-04,808625.0,811400,804550,808580,2455670,0.3460755371609126
2016-07-05,800495.0,810205,804535,806690,2069517,-0.0934689026107588
2016-07-06,801610.0,802555,793760,797355,2578290,-0.879209085668056
2016-07-07,830910.0,835205,830425,833325,2183003,0.4523204165995841
2016-07-08,832260.0,832050,824890,826590,3119508,-0.5530527292133747
2016-07-11,834765.0,835045,829240,832975,1865969,0.6499438900776194
2016-07-12,841335.0,837135,832480,835485,2775155,0.2744645194191117
2016-07-13,839670.0,845470,837145,840805,3182209,0.4993109057791977
2016-07-14,843675.0,841525,836700,839555,2489960,-0.0544223703662161
